,ligand,receptor,
566,VEGFA,FLT1,
567,VEGFA,KDR,
568,VEGFA,NRP1,
569,VEGFA,NRP2,
570,VEGFB,FLT1,
571,VEGFB,NRP1,
572,VEGFB,KDR,
573,VEGFC,FLT4,
574,VEGFC,KDR,
575,VEGFD,FLT4,
576,VEGFD,KDR,
577,VIP,ADCYAP1R1,
578,VIP,VIPR1,
579,VIP,VIPR2,
580,AVP,AVPR1A,
581,AVP,AVPR1B,
582,AVP,AVPR2,
583,DKK1,LRP5,
584,DKK1,LRP6,
585,DKK2,LRP6,
586,WNT5A,ROR1,
587,WNT5A,ROR2,
588,INHBC,ACVR2A,
589,INHBC,ACVR2B,
590,INHBE,ACVR2A,
591,INHBE,ACVR2B,
592,ALCAM,CD6,
593,BAG6,NCR3,
594,BST2,LILRA4,
595,CD1D,LILRB2,
596,CD200,CD200R1,
597,CBLN1,GRID2,
599,CEACAM6,CEACAM1,
600,CD274,PDCD1,
601,CD34,SELP,
602,OCLN,OCLN,
603,CD58,CD2,
604,CD70,CD27,
605,CD80,CD28,
606,CD80,CTLA4,
607,CD86,CD28,
608,CD86,CTLA4,
609,CD99,PILRA,
610,EPO,EPOR,
611,FLT3LG,FLT3,
612,FSHB,FSHR,
613,HGF,MET,
614,ICOSLG,ICOS,
615,KISS1,KISS1R,
616,KITLG,KIT,
617,LCN2,SLC22A17,
618,LEP,LEPR,
619,LHB,LHCGR,
620,LRPAP1,SORT1,
621,MLN,MLNR,
622,MST1,MST1R,
623,PDCD1LG2,PDCD1,
624,PF4,CXCR3,
625,PROC,PROCR,
626,PTPRD,IL1RAP,
627,PTPRD,IL1RAPL1,
628,QRFP,QRFPR,
629,RBP4,STRA6,
630,REN,ATP6AP2,
631,SAA1,FPR2,
632,HLA-E,CD8B,
633,HLA-E,CD8B2,
634,THPO,MPL,
635,TRH,TRHR,
636,TSHB,TSHR,
637,CD47,SIRPG,
638,INSL5,RXFP2,
639,INSL5,RXFP1,
640,PECAM1,PECAM1,
641,SEMA4D,PLXNB3,
642,COL10A1,ITGB1,
643,FGA,ITGA2B,
644,FGA,ITGB3,
645,FGA,ITGAM,
646,FGA,ITGAX,
647,FGB,ITGA2B,
648,FGB,ITGB3,
649,FGB,ITGAM,
650,FGG,ITGA2B,
651,FGG,ITGB3,
652,FGG,ITGAM,
653,COL4A6,ITGA1,
654,COL4A6,ITGA2,
655,COL4A6,ITGB1,
656,COL4A6,ITGA3,
657,COL4A6,ITGA9,
658,COL4A6,ITGA10,
659,COL4A6,ITGA11,
660,COL4A6,ITGAV,
661,COL4A6,CD44,
662,COL4A6,GP6,
663,COL4A6,ITGB8,
664,ITGB2,ICAM1,
665,ICAM1,ITGAM,
666,ICAM2,ITGAL,
667,ICAM2,ITGB2,
668,ICAM3,ITGAD,
669,ICAM3,ITGB2,
670,ICAM3,ITGAL,
671,ICAM4,ITGAL,
672,ICAM4,ITGB2,
673,APOA1,ABCA1,
674,APOA1,AMN,
675,APOA1,CUBN,
676,APOA2,TYROBP,
677,APOA1,TYROBP,
678,APOA1,TREM2,
679,APOA2,TREM2,
680,LAMC1,ITGA2,
681,LAMC1,ITGA6,
682,LAMC1,ITGA7,
683,LAMC1,ITGAV,
684,LAMC1,ITGB1,
685,SPP1,ITGA4,
686,SPP1,ITGA9,
687,SPP1,ITGAV,
688,SPP1,ITGB1,
689,SPP1,ITGB3,
690,F10,ITGAM,
691,F11R,ITGAL,
692,F11R,ITGB2,
693,COL4A4,ITGA1,
694,COL4A4,ITGA3,
695,COL4A4,ITGA9,
696,COL4A4,ITGA10,
697,COL4A4,ITGA11,
698,COL4A4,ITGAV,
699,COL4A4,ITGB8,
700,COL4A4,CD44,
701,COL4A4,ITGB1,
702,COL4A4,ITGA2,
703,COL4A4,GP6,
704,AGRN,LRP4,
705,AGRN,MUSK,
706,IAPP,RAMP3,
707,CKLF,CCR4,
708,CGA,LHCGR,
709,CGA,FSHR,
710,CGA,TSHR,
711,CGB3,LHCGR,
712,DHRS9,PGR,
713,DHH,PTCH1,
714,DHH,PTCH2,
715,DHH,HHIP,
716,DHH,GAS1,
717,DHH,BOC,
718,DHH,CDON,
719,FGF23,FGFR1,
720,FGF23,FGFR3,
721,FGF23,FGFR4,
722,FGF23,KL,
723,GDF1,ACVR1B,
724,GDF10,ACVR1B,
725,GDF11,TGFBR1,
726,GDF11,ACVR1B,
727,GDF11,ACVR2A,
728,GDF11,ACVR2B,
729,GDF2,BMPR2,
730,GDF2,ACVR2A,
731,GDF2,ACVRL1,
732,GDF3,ACVR1C,
733,GDF3,ACVR2B,
734,GDF3,ACVR2A,
735,GDF3,ACVR1B,
736,GDF5,BMPR1A,
737,GDF5,BMPR2,
738,GDF5,ACVR2A,
739,GDF5,ACVR2B,
740,GDF5,BMPR1B,
741,GDF6,BMPR2,
742,GDF6,ACVR2A,
743,GDF6,ACVR2B,
744,GDF6,BMPR1A,
745,GDF6,BMPR1B,
746,GDF7,ACVR2A,
747,GDF7,ACVR2B,
748,GDF7,BMPR1A,
749,GDF7,BMPR1B,
750,GDF7,BMPR2,
751,MSTN,TGFBR1,
752,MSTN,ACVR1B,
753,MSTN,ACVR2A,
754,MSTN,ACVR2B,
755,GDF1,ACVR2B,
756,INHBA,ACVR1,
757,INHBA,ACVR1B,
758,INHBA,ACVR1C,
759,INHBB,ACVR1,
760,INHBB,ACVR1B,
761,INHBB,ACVR1C,
762,INHBA,ACVR2A,
763,INHBA,ACVR2B,
764,INHBB,ACVR2A,
765,INHBB,ACVR2B,
766,IGF1,GPC3,
767,IGF1,IGF1R,
768,IGF1,ITGA6,
769,IGF1,ITGAV,
770,IGF1,ITGB4,
771,IGF1,ITGB3,
772,IFNA1,IFNAR1,
773,IFNA10,IFNAR1,
774,IFNA14,IFNAR1,
775,IFNA16,IFNAR1,
776,IFNA17,IFNAR1,
777,IFNA2,IFNAR1,
778,IFNA21,IFNAR1,
779,IFNA4,IFNAR1,
780,IFNA5,IFNAR1,
781,IFNA6,IFNAR1,
782,IFNA7,IFNAR1,
783,IFNA8,IFNAR1,
784,IFNB1,IFNAR1,
785,IFNE,IFNAR1,
786,IFNG,IFNGR1,
787,IFNK,IFNAR1,
788,IFNL1,IFNLR1,
789,IFNL2,IFNLR1,
790,IFNL3,IFNLR1,
791,IFNW1,IFNAR1,
792,IFNA1,IFNAR2,
793,IFNA10,IFNAR2,
794,IFNA14,IFNAR2,
795,IFNA16,IFNAR2,
796,IFNA17,IFNAR2,
797,IFNA2,IFNAR2,
798,IFNA21,IFNAR2,
799,IFNA4,IFNAR2,
800,IFNA5,IFNAR2,
801,IFNA6,IFNAR2,
802,IFNA7,IFNAR2,
803,IFNA8,IFNAR2,
804,IFNB1,IFNAR2,
805,IFNE,IFNAR2,
806,IFNG,IFNGR2,
807,IFNK,IFNAR2,
808,IFNL1,IL10RB,
809,IFNL2,IL10RB,
810,IFNL3,IL10RB,
811,IFNW1,IFNAR2,
812,AMH,ACVR1,
813,AMH,AMHR2,
814,AMH,BMPR1A,
815,AMH,BMPR1B,
816,NRTN,GFRA2,
817,NRTN,RET,
818,NODAL,ACVR1B,
819,NODAL,ACVR1C,
820,NODAL,ACVR2A,
821,NODAL,ACVR2B,
822,NODAL,CFC1,
823,NODAL,TDGF1,
824,INHBE,ACVR1C,
825,OSM,IL6ST,
826,OSM,LIFR,
827,OSM,OSMR,
828,PDGFD,PDGFRA,
829,RSPO1,FZD8,
830,RSPO1,LRP6,
831,SEMA3A,PLXNA1,
832,SEMA3A,PLXNA2,
833,SEMA3A,PLXNA3,
834,SEMA3A,PLXNA4,
835,SEMA6D,KDR,
836,SEMA6D,PLXNA1,
837,SEMA7A,ITGA1,
838,SEMA6A,PLXNA2,
839,SEMA6D,TREM2,
840,SEMA7A,ITGB1,
841,SEMA6D,TYROBP,
842,SPX,GALR2,
843,SPX,GALR3,
844,SPX,GPR151,
845,SHH,HHIP,
846,SHH,BOC,
847,SHH,CDON,
848,SHH,GAS1,
849,SHH,PTCH1,
850,SHH,PTCH2,
851,TGFB1,ACVR1,
852,TGFB1,ITGAV,
853,TGFB1,TGFBR1,
854,TGFB2,ACVR1,
855,TGFB2,TGFBR1,
856,TGFB3,ACVR1,
857,TGFB3,TGFBR1,
858,TGFB1,TGFBR2,
859,TGFB1,ITGB6,
860,TGFB2,TGFBR2,
861,TGFB3,TGFBR2,
862,TGFB3,ITGB6,
863,INHB,ACVR1C,
864,WNT1,FZD1,
865,WNT1,FZD10,
866,WNT1,FZD2,
867,WNT1,FZD3,
868,WNT1,FZD4,
869,WNT1,FZD5,
870,WNT1,FZD6,
871,WNT1,FZD7,
872,WNT1,FZD8,
873,WNT1,FZD9,
874,WNT10A,FZD1,
875,WNT10A,FZD5,
876,WNT10A,FZD7,
877,WNT10A,FZD8,
878,WNT11,FZD1,
879,WNT11,FZD10,
880,WNT11,FZD2,
881,WNT11,FZD3,
882,WNT11,FZD4,
883,WNT11,FZD5,
884,WNT11,FZD6,
885,WNT11,FZD7,
886,WNT11,FZD8,
887,WNT11,FZD9,
888,WNT16,FZD1,
889,WNT16,FZD10,
890,WNT16,FZD2,
891,WNT16,FZD3,
892,WNT16,FZD4,
893,WNT16,FZD5,
894,WNT16,FZD6,
895,WNT16,FZD7,
896,WNT16,FZD8,
897,WNT16,FZD9,
898,WNT2,FZD1,
899,WNT2,FZD10,
900,WNT2,FZD2,
901,WNT2,FZD3,
902,WNT2,FZD4,
903,WNT2,FZD5,
904,WNT2,FZD6,
905,WNT2,FZD7,
906,WNT2,FZD8,
907,WNT2,FZD9,
908,WNT2B,FZD1,
909,WNT2B,FZD10,
910,WNT2B,FZD2,
911,WNT2B,FZD3,
912,WNT2B,FZD4,
913,WNT2B,FZD5,
914,WNT2B,FZD6,
915,WNT2B,FZD7,
916,WNT2B,FZD8,
917,WNT2B,FZD9,
918,WNT3,FZD1,
919,WNT3,FZD10,
920,WNT3,FZD2,
921,WNT3,FZD3,
922,WNT3,FZD4,
923,WNT3,FZD5,
924,WNT3,FZD6,
925,WNT3,FZD7,
926,WNT3,FZD8,
927,WNT3,FZD9,
928,WNT3A,FZD1,
929,WNT3A,FZD10,
930,WNT3A,FZD2,
931,WNT3A,FZD3,
932,WNT3A,FZD4,
933,WNT3A,FZD5,
934,WNT3A,FZD6,
935,WNT3A,FZD7,
936,WNT3A,FZD8,
937,WNT3A,FZD9,
938,WNT4,FZD1,
939,WNT4,FZD10,
940,WNT4,FZD2,
941,WNT4,FZD3,
942,WNT4,FZD4,
943,WNT4,FZD5,
944,WNT4,FZD6,
945,WNT4,FZD7,
946,WNT4,FZD8,
947,WNT4,FZD9,
948,WNT5A,FZD10,
949,WNT5A,FZD2,
950,WNT5A,FZD3,
951,WNT5A,FZD4,
952,WNT5A,FZD5,
953,WNT5A,FZD6,
954,WNT5A,FZD7,
955,WNT5A,FZD8,
956,WNT5A,FZD9,
957,WNT5B,FZD1,
958,WNT5B,FZD10,
959,WNT5B,FZD2,
960,WNT5B,FZD3,
961,WNT5B,FZD4,
962,WNT5B,FZD5,
963,WNT5B,FZD6,
964,WNT5B,FZD7,
965,WNT5B,FZD8,
966,WNT5B,FZD9,
967,WNT6,FZD1,
968,WNT6,FZD10,
969,WNT6,FZD2,
970,WNT6,FZD3,
971,WNT6,FZD4,
972,WNT6,FZD5,
973,WNT6,FZD6,
974,WNT6,FZD7,
975,WNT6,FZD8,
976,WNT6,FZD9,
977,WNT7A,FZD1,
978,WNT7A,FZD10,
979,WNT7A,FZD2,
980,WNT7A,FZD3,
981,WNT7A,FZD4,
982,WNT7A,FZD5,
983,WNT7A,FZD6,
984,WNT7A,FZD7,
985,WNT7A,FZD8,
986,WNT7A,FZD9,
987,WNT7B,FZD1,
