,ligand,receptor,
2897,MDK,ITGA4,
2898,MDK,ITGA6,
,MDK,SORL1,
2899,C3,C5AR2,
2900,C3,ITGAM,
2901,C3,ITGB2,
2902,C3,ITGAX,
2903,C3,CR2,
2904,CALR,HLA-F,
2905,CAMP,EGFR,
2906,CAMP,IGF1R,
2907,CAMP,P2RX7,
2909,CD14,ITGA4,
2910,CD14,ITGB1,
2911,CD24,SELP,
2912,CELA3B,CHRM3,
2913,CGN,OCLN,
2914,CLEC3A,CLEC10A,
2915,CLEC3A,CLEC2B,
2916,CNTF,IL6R,
2917,CNTF,IL6ST,
2918,COL11A1,ITGA2,
2919,COL11A1,ITGB1,
2920,COL1A1,DDR2,
2921,COL1A1,ITGA5,
2922,COL1A1,SDC1,
2923,COL1A1,SDC4,
2924,COL1A2,SDC1,
2925,COL1A2,SDC4,
2926,COL2A1,MAG,
2927,COL2A1,OR1E1,
2928,COL2A1,SDC4,
2929,COL2A1,TNFRSF10A,
2930,COL3A1,ITGA2,
2931,COL3A1,ITGB1,
2932,COL3A1,MAG,
2933,COL6A1,SDC1,
2934,COL7A1,ITGA2,
2935,COL7A1,ITGB1,
2936,COL9A1,MAG,
2937,COL9A2,MAG,
2938,COL9A3,MAG,
2939,COL9A3,SDC1,
2940,CP,SLC40A1,
2941,CRP,OLR1,
2942,CXCL10,SDC4,
2943,DSCAM,DCC,
2944,DUSP18,CD151,
2945,ECM1,CACHD1,
2946,EGF,CAV1,
2947,F10,ITGB2,
2948,F12,GP1BA,
2949,F2,GP1BA,
2950,F2,GP1BB,
2951,F2,ITGA2B,
2952,FARP2,PLXNA1,
2953,FARP2,PLXNA2,
2954,FARP2,PLXNA3,
2955,FARP2,PLXNA4,
2956,FBN1,ITGB6,
2957,FGA,ITGAD,
2958,FGA,ITGB2,
2959,FGB,ITGB2,
2960,FGF13,SCN5A,
2961,FGF13,SCN8A,
2962,FGG,ITGB2,
2963,FST,HFE2,
2964,HSD3B1,CATSPER1,
2965,HSD3B1,CATSPER2,
2966,HSD3B1,CATSPER3,
2967,HSD3B1,CATSPER4,
2968,HSD3B1,PGR,
2969,HSD3B1,CATSPERD,
2970,HSD3B1,CATSPERB,
2971,GDNF,SLC44A5,
2972,GZMB,PGRMC1,
2973,HHIPL2,CACHD1,
2974,HHLA3,CHRM3,
2975,HLA-B,CANX,
2976,HLA-C,SLC9C2,
2977,HLA-E,SLC16A4,
2978,HRAS,SDC2,
2979,HSP90B1,ERBB2,
2980,HSP90B1,TLR1,
2981,HSP90B1,TLR2,
2982,HSP90B1,TLR4,
2983,HSP90B1,TLR7,
2984,HSP90B1,TLR9,
2985,HSPA1A,GRIN2D,
2986,HSPA1A,TLR4,
2987,HSPG2,CHRM3,
2988,IL18,CD48,
2989,IL8,KDR,
2990,IL8,SDC3,
2991,KLK3,EPOR,
2992,SRD5A1,AR,
2993,SRD5A2,AR,
2994,SRD5A3,AR,
2995,CYP17A1A,AR,
2996,HSD17B6,NR1H4,
2997,LAMB3,CD151,
2998,LAMB3,COL17A1,
2999,LAMC2,CD151,
3000,LAMC2,COL17A1,
3001,LIN7C,KCNJ4,
3002,LTF,GP9,
3003,LTF,GPR162,
3004,LTF,TFRC,
3005,LYPD3,AGR2,
3006,LYZ,ITGAL,
3007,MATN1,PTPRD,
3008,MFI2,TFRC,
3010,FLRT1,ADGRL1,
3011,FLRT1,ADGRL3,
3012,FLRT2,ADGRL1,
3013,FLRT2,ADGRL3,
3014,LRRC4C,NTNG1,
3015,LRRC4C,PTPRF,
3016,NCAM1,FGFR1,
3017,NCAM1,NCAM1,
3018,NCAM1,NCAM2,
3019,NCAM1,L1CAM,
3020,NCAM1,AGRN,
3021,NLGN4X,NRXN3,
3022,DAG1,NRXN3,
3023,NLGN4Y,NRXN3,
3024,NCAN,SDC3,
3025,NTF4,NGFRAP1,
3026,NTS,SORT1,
3027,NUCB2,ERAP1,
3028,OLAH,MOG,
3029,OMG,NGFR,
3030,OMG,RTN4RL1,
3031,OMG,TNFRSF1B,
3032,P4HB,GPR162,
3033,PAPLN,SIRPA,
3034,PDGFB,ART1,
3035,PDX1,SLC2A2,
3036,PROC,ITGAM,
3037,PROC,ITGB2,
3038,PTGS2,ALOX5,
3039,QDPR,DYSF,
3040,REN,ASIC3,
3041,RGMA,HFE2,
3042,RGMB,BMPR1B,
3043,RGMB,BMPR2,
3044,RGMB,HFE2,
3045,RIMS1,SLC17A7,
3046,RIMS1,SLC18A2,
3047,RIMS1,SLC18A3,
3048,RTN4,GJB2,
3049,RTN4,NGFR,
3056,SERPINE2,LRP1,
3057,SFTPD,LY96,
3058,SORBS1,ITGA1,
3059,SORBS1,ITGB5,
3060,TCN2,CNR1,
3061,TCN2,LRP2,
3062,UBA52,ACVR1,
3063,UBA52,AGTR1,
3064,UBA52,BMPR1B,
3065,UBA52,EGFR,
3066,UBA52,ERBB2,
3067,UBA52,FSHR,
3068,UBA52,NOTCH1,
3069,UBA52,TGFBR1,
3070,UBA52,TGFBR2,
3071,LXA4,FPR2,
3072,TNC,NT5E,
3073,ICAM1,ITGAX,
3074,CD244,CD48,
3075,HSPG2,DAG1,
3076,CADM1,CADM1,
3077,JAG1,CD46,
3078,JAG1,VASN,
3079,ITGB2,ITGB2,
3080,SELE,CD44,
3081,NAMPT,ITGB1,
3082,SEMA3D,PLXNA3,
3083,IBSP,ITGB5,
3084,CCL21,CCBP2,
3085,CCL14,CCBP2,
3086,CTGF,LRP1,
3089,GAST,CCKAR,
3090,GAST,ADGRG1,
3091,CDH1,ITGB1,
3092,CDH1,ITGA2,
3093,ICAM2,CD209,
3094,ICAM3,CD209,
3095,JAM2,ITGA4,
3096,PLA2G2A,ITGA4,
3097,PLA2G2A,ITGB1,
3098,PLA2G2A,ITGA5,
3099,CYP27B1,VDR,
3100,CYP11B1,NR3C1,
3101,CYP11B1,NR3C2,
3102,CYP21A2,NR3C2,
3103,CYP19A1,ESR1,
3104,CYP19A1,ESR2,
3105,CYP19A1,GPER1,
3106,CYP19A1,NR1I2,
3107,CYP11A1,NR1H4,
3108,CYP3A4,NR1H4,
3109,HSD17B12,AR,
3110,HSD17B3,AR,
3111,DAGLA,CNR1,
3112,DAGLA,CNR2,
3113,DAGLA,GPR55,
3114,DAGLB,CNR1,
3115,DAGLB,CNR2,
3116,DAGLB,GPR55,
3117,CLSTN1,NRXN1,
3118,CLSTN1,NRXN2,
3119,CLSTN1,NRXN3,
3120,CLSTN2,NRXN1,
3121,CLSTN2,NRXN2,
3122,CLSTN2,NRXN3,
3123,CLSTN3,NRXN1,
3124,CLSTN3,NRXN2,
3125,CLSTN3,NRXN3,
3126,CEL,RORA,
3127,CEL,RORC,
3128,LIPA,RORA,
3129,LIPA,RORC,
3130,DHCR24,RORA,
3131,DHCR24,RORC,
3132,DHCR7,NR1H2,
3133,DHCR7,NR1H3,
3134,DHCR7,RORA,
3135,DHCR7,RORC,
3136,C10orf99,GPR15,
3137,C10orf99,SUSD2,
3138,C1QL1,ADGRB3,
3139,C1QL2,ADGRB3,
3140,C1QL3,ADGRB3,
3141,C1QL4,ADGRB3,
3142,SULT1A1,PPARA,
3143,SULT1A1,PPARD,
3144,SULT1A1,PPARG,
3145,SULT1E1,PPARA,
3146,SULT1E1,PPARD,
3147,SULT1E1,PPARG,
3148,SULT2A1,PPARA,
3149,SULT2A1,PPARD,
3150,SULT2A1,PPARG,
3151,UBASH3B,ESR1,
3152,UBASH3B,NR1I2,
3153,UBASH3B,PPARA,
3154,ENTPD1,ADORA1,
3155,ENTPD1,ADORA2A,
3156,ENTPD1,ADORA2B,
3157,ENTPD1,ADORA3,
3158,PNMT,ADRA1A,
3159,PNMT,ADRA1B,
3160,PNMT,ADRA1D,
3161,PNMT,ADRA2A,
3162,PNMT,ADRA2B,
3163,PNMT,ADRA2C,
3164,PNMT,ADRB1,
3165,PNMT,ADRB2,
3166,PNMT,ADRB3,
3167,HSD17B1,ESR1,
3168,HSD17B1,ESR2,
3169,HSD17B1,GPER1,
3170,HSD17B1,NR1I2,
3171,LRRTM1,NRXN1,
3172,LRRTM1,NRXN2,
3173,LRRTM1,NRXN3,
3174,DPEP1,CYSLTR1,
3175,DPEP1,CYSLTR2,
3176,DPEP2,CYSLTR1,
3177,DPEP2,CYSLTR2,
3178,DPEP3,CYSLTR1,
3179,DPEP3,CYSLTR2,
3180,LTA4H,GPR17,
3181,LTA4H,LTB4R,
3182,LTA4H,LTB4R2,
3183,LTC4S,CYSLTR1,
3184,LTC4S,CYSLTR2,
3185,PTGR1,LTB4R,
3186,PTGR1,LTB4R2,
3187,ALOX12,CYSLTR1,
3188,ALOX12,FPR2,
3189,LPAR1,ADGRE5,
3190,LPAR2,ADGRE5,
3191,LPAR3,ADGRE5,
3192,ASMT,MTNR1A,
3193,ASMT,MTNR1B,
3194,ALDH1A1,CRABP2,
3195,ALDH1A1,RORB,
3196,ALDH1A1,RARA,
3197,ALDH1A1,RARB,
3198,ALDH1A1,RARG,
3199,ALDH1A1,RXRA,
3200,ALDH1A1,RXRB,
3201,ALDH1A1,RXRG,
3202,ALDH1A2,CRABP2,
3203,ALDH1A2,RORB,
3204,ALDH1A2,RARA,
3205,ALDH1A2,RARB,
3206,ALDH1A2,RARG,
3207,ALDH1A2,RXRA,
3208,ALDH1A2,RXRB,
3209,ALDH1A2,RXRG,
3210,ALDH1A3,CRABP2,
3211,ALDH1A3,RORB,
3212,ALDH1A3,RARA,
3213,ALDH1A3,RARB,
3214,ALDH1A3,RARG,
3215,ALDH1A3,RXRA,
3216,ALDH1A3,RXRB,
3217,ALDH1A3,RXRG,
3218,SLITRK1,PTPRD,
3219,SLITRK1,PTPRS,
3220,SLITRK2,PTPRD,
3221,SLITRK2,PTPRS,
3222,SLITRK3,PTPRD,
3223,SLITRK4,OLR1,
3224,SLITRK4,PTPRS,
3225,SLITRK5,PTPRS,
3226,SLITRK6,PTPRS,
3227,TAFA1,GPR1,
3228,TAFA4,FPR1,
3229,TENM1,ADGRL1,
3230,TENM1,ADGRL2,
3231,TENM1,ADGRL3,
3232,TENM2,ADGRL1,
3233,TENM2,ADGRL2,
3234,TENM2,ADGRL3,
3235,TENM3,ADGRL1,
3236,TENM3,ADGRL2,
3237,TENM3,ADGRL3,
3238,TENM4,ADGRL1,
3239,TENM4,ADGRL2,
3240,TENM4,ADGRL3,
3241,AKR1D1,AR,
3242,TAX1BP3,ADGRB2,
3243,TBXAS1,TBXA2R,
3244,TF,TFRC,
3245,CD55,ADGRE5,
3246,SFTPD,ADGRE5,
3247,SDC1,ADGRA2,
3248,SDC2,ADGRA2,
3249,ITGAV,ADGRA2,
3250,TAX1BP3,ADGRB1,
3251,ITGAV,ADGRB1,
3252,RTN4R,ADGRB1,
3253,CD248,IL6R,
3254,CD276,TREML2,
3255,CD320,JAML,
3256,SIGLEC15,CD44,
3257,TGM2,ADGRG1,
3258,TPO,THRB,
3259,TULP1,TYRO3,
3260,CD177,PECAM1,
3261,CD47,SIRPA,
3262,CD47,SIRPG,
3263,SEMA4D,PTPRC,
3264,ITGB3,ADGRA2,
3265,ITGB5,ADGRB1,
3266,ITGAV,ADGRE2,
3267,ITGB3,ADGRE2,
3268,ITGB1,ADGRE2,
3269,ITGAV,ADGRE5,
3270,ITGB3,ADGRE5,
3271,ITGB1,ADGRE5,
